x,a,b,c,d,index_value
584,113,132,39,114,272
585,113,132,40,114,272
586,113,132,41,114,272
587,113,131,40,114,271
588,113,131,39,114,268
589,113,129,39,114,260
590,113,128,38,114,257
591,112,126,36,113,250
592,112,125,34,112,247
593,111,125,34,111,247
594,111,125,33,111,246
596,111,125,33,111,252
597,111,125,33,111,251
598,111,125,33,111,251
599,112,125,32,111,250
600,112,126,32,112,253
602,112,126,32,113,254
603,113,126,32,113,253
604,113,126,32,114,252
605,113,126,31,114,246
606,113,126,31,114,245
607,113,126,31,114,243
608,113,126,31,113,239
609,113,125,31,113,237
610,112,124,30,112,234
612,112,124,30,112,237
613,112,125,30,111,239
614,112,125,30,111,241
615,112,125,30,111,240
616,112,124,29,111,237
617,111,123,28,110,235
618,111,123,28,111,240
620,113,126,28,113,252
621,113,127,30,113,254
622,113,127,30,113,256
623,113,128,31,113,258
624,113,128,31,114,260
625,114,129,32,114,263
633,116,135,34,116,282
634,117,136,35,117,286
635,117,136,37,118,287
636,117,137,38,118,290
638,118,137,38,119,293
639,118,137,39,120,293
640,118,137,38,120,293
641,118,137,37,121,291
642,118,137,37,120,291
643,118,136,37,120,290
644,118,136,36,120,288
645,118,134,35,119,279
646,118,133,33,119,277
647,117,132,32,119,270
648,117,132,32,119,271
649,117,132,32,119,274
650,117,132,32,119,278
651,117,133,32,119,281
652,117,134,32,119,285
653,117,134,33,119,288
654,117,135,33,119,291
655,118,137,33,119,295
656,119,137,34,120,298
657,119,138,35,121,302
658,119,138,35,121,304
659,119,139,36,122,306
660,120,140,36,122,308
661,120,141,37,123,311
662,121,142,38,124,313
663,121,143,39,125,316
664,122,144,40,126,317
665,122,144,42,127,318
666,122,144,42,127,318
667,123,144,42,128,319
668,123,144,42,129,321
669,123,144,43,130,321
670,124,145,43,130,323
671,124,145,43,130,323
672,124,145,44,131,322
673,124,144,42,132,316
674,124,143,42,132,314
675,125,142,41,132,315
676,125,143,41,132,318
677,125,144,41,133,321
678,125,144,41,133,321
679,125,144,42,134,322
680,126,144,42,134,323
682,126,144,42,135,316
683,126,143,41,135,312
684,127,142,40,135,312
685,127,142,40,136,313
686,127,142,40,136,312
687,127,141,39,136,308
688,127,140,38,136,307
689,127,140,37,136,310
690,127,140,37,136,312
691,127,140,37,137,315
692,127,141,37,137,316
693,127,142,38,137,318
694,129,143,38,138,323
695,130,145,39,138,327
696,131,147,41,140,333
697,131,149,44,143,337
698,132,150,46,146,338
699,133,151,47,147,338
700,133,151,49,148,340
701,133,151,49,149,343
702,136,153,50,150,345
703,136,154,51,152,348
704,136,154,54,154,349
705,136,154,54,154,348
706,136,154,54,154,347
707,137,154,54,154,343
708,137,154,54,155,341
709,137,153,53,155,335
710,137,152,51,155,332
711,136,151,51,155,330
712,136,150,50,155,328
713,136,149,48,155,331
714,136,149,48,155,332
715,136,149,48,155,332
716,136,149,48,155,333
717,137,150,48,155,335
718,137,150,48,155,336
719,137,151,48,156,341
720,138,153,49,157,343
721,138,153,51,157,348
722,138,153,52,158,350
723,138,153,52,159,352
724,138,153,53,159,350
725,138,153,52,159,350
726,138,153,52,159,349
727,138,152,52,159,345
728,138,151,50,159,342
729,138,151,50,159,339
730,138,150,49,159,339
732,138,151,49,159,344
734,138,151,49,160,347
735,138,151,49,159,346
736,138,151,48,159,347
737,138,150,48,159,348
738,138,151,48,159,349
739,138,151,48,159,350
740,139,151,48,159,349
741,139,151,48,160,346
742,139,151,48,161,343
743,139,150,48,161,342
744,139,149,47,161,342
745,139,149,47,161,343
746,139,149,47,161,343
747,139,149,47,161,343
748,139,149,47,161,342
749,139,149,46,161,340
750,139,148,46,161,340
752,140,150,46,161,343
753,140,150,46,162,344
754,139,150,45,162,345
755,139,149,45,162,341
756,139,149,45,162,338
757,139,148,44,161,333
758,139,147,43,160,331
759,139,147,42,160,328
760,138,146,42,159,327
761,138,145,41,159,323
762,138,145,41,159,322
763,138,145,41,159,323
764,138,144,41,159,322
765,138,144,40,159,323
766,138,145,40,159,324
767,138,145,40,159,325
768,138,145,41,160,324
769,138,145,41,160,324
770,140,146,41,160,325
771,140,146,42,161,326
772,140,146,42,163,327
773,140,147,42,164,327
774,141,147,42,164,326
775,141,148,42,164,331
776,142,150,44,165,333
777,142,151,46,166,339
778,143,152,47,167,341
779,143,152,48,168,345
780,143,152,49,169,342
781,144,152,50,170,341
782,144,152,50,170,337
783,145,152,50,171,339
784,145,152,50,172,339
785,145,152,50,173,339
786,145,153,50,174,340
787,145,153,50,174,342
788,145,153,51,174,345
789,145,153,52,174,344
790,145,153,52,174,340
791,145,153,51,174,335
792,145,152,50,174,328
793,145,150,49,173,324
794,144,149,48,173,318
795,144,148,47,173,313
796,144,146,45,172,309
797,144,145,45,172,306
798,144,143,43,171,298
799,143,140,42,166,291
800,141,138,41,163,283
801,139,136,39,161,272
802,138,135,37,159,269
803,138,135,37,157,270
804,137,136,38,157,273
805,136,137,40,157,279
806,136,137,40,157,278
807,136,136,40,156,270
808,136,135,38,155,266
809,135,134,37,153,260
810,134,133,37,152,258
811,134,133,36,151,256
812,133,132,36,151,254
813,133,130,36,150,251
814,133,128,36,148,250
815,132,125,34,146,246
816,131,125,33,146,252
817,131,127,33,146,253
818,131,127,34,147,257
819,131,127,34,146,257
820,131,126,33,146,253
821,131,126,33,146,254
822,131,127,34,146,257
823,131,128,34,146,261
824,131,130,35,146,267
825,132,133,37,147,277
826,133,137,39,148,290
827,135,139,43,150,298
828,135,143,49,154,314
829,136,145,51,156,317
830,137,147,52,157,325
831,137,148,53,157,327
832,137,149,56,158,327
833,136,150,56,158,326
834,136,151,57,158,324
835,136,151,55,158,320
836,136,150,54,158,317
837,136,149,53,158,318
839,137,149,53,158,322
840,137,149,52,160,320
841,138,148,51,161,320
842,138,148,50,161,321
843,138,148,50,161,322
844,138,148,49,162,320
845,138,147,48,162,319
846,138,147,48,162,318
847,138,147,48,162,318
848,138,147,47,162,317
849,137,146,46,161,316
850,137,146,46,161,314
851,137,146,46,161,312
852,137,145,45,160,308
853,137,144,44,159,307
854,137,142,41,158,302
855,136,142,41,157,302
856,136,142,41,157,298
857,135,141,40,156,296
858,135,140,38,156,289
859,135,138,37,155,284
860,133,137,37,153,280
861,133,136,36,152,283
863,133,138,36,152,292
864,133,138,37,152,291
865,133,138,36,152,288
866,133,137,36,151,274
867,133,135,33,151,268
868,132,132,32,150,257
