x,a,b,c,d,index_value
676,203,34,54,87,306
677,204,36,57,94,312
678,205,37,61,97,317
679,205,38,63,100,323
680,206,39,64,103,326
681,207,42,64,106,340
682,208,44,67,112,346
685,211,52,81,116,367
686,211,52,84,120,360
687,211,51,83,128,354
688,212,50,81,130,352
689,212,50,81,131,350
690,212,50,80,132,351
691,213,51,79,133,352
692,214,51,79,134,354
693,214,50,78,137,347
694,214,48,78,139,340
695,214,46,73,141,316
696,213,45,70,138,306
697,213,51,69,137,293
698,213,51,69,136,294
699,213,58,73,133,292
700,212,58,72,131,288
701,212,58,72,130,289
702,212,58,72,131,281
703,211,58,71,131,281
704,211,57,69,131,277
705,211,57,69,130,278
706,211,56,66,130,279
707,211,56,65,130,281
708,212,56,65,130,282
710,213,56,65,131,287
711,213,56,65,134,287
712,213,56,65,135,286
713,213,55,65,136,281
714,213,55,64,138,278
715,213,55,63,139,276
716,213,49,63,139,276
717,213,48,62,139,279
718,213,41,54,138,280
719,213,40,54,135,286
721,213,41,54,135,292
722,213,41,55,136,291
723,213,41,56,137,291
724,213,41,55,138,293
725,213,41,55,138,294
726,213,41,55,137,292
728,213,42,55,136,288
729,213,43,55,137,287
730,213,44,57,139,286
731,213,44,56,139,281
732,213,44,55,137,281
733,213,42,53,135,273
734,212,41,53,133,271
735,212,40,50,132,260
736,212,39,50,131,259
737,212,39,48,131,259
739,211,39,48,129,252
740,211,39,48,129,241
741,211,39,49,129,239
742,211,37,49,130,232
743,211,36,46,128,228
744,211,35,45,128,224
745,211,34,44,125,214
746,210,33,43,121,208
747,209,31,40,118,200
748,209,32,39,117,197
749,208,32,39,116,200
752,208,30,39,114,182
753,207,28,36,113,182
754,206,27,34,112,170
755,206,25,32,107,164
756,205,22,30,106,146
757,203,21,28,100,139
758,201,18,26,98,117
759,201,17,26,79,110
760,200,15,24,79,96
761,198,13,22,76,91
762,197,13,22,71,94
763,196,14,22,59,97
764,196,14,24,56,96
765,196,13,25,56,84
766,195,11,23,54,77
767,194,10,19,51,67
768,193,11,19,44,72
769,193,12,21,38,75
770,192,12,22,36,71
771,192,11,23,35,70
772,192,11,19,33,72
773,192,12,19,33,76
774,192,14,19,31,77
775,192,13,21,31,72
776,192,12,20,31,63
777,192,11,17,31,53
778,191,10,16,31,38
779,191,9,16,28,46
780,191,7,14,27,32
781,190,6,11,26,32
783,190,6,11,20,3
784,190,8,14,18,6
785,190,10,16,18,19
786,190,13,18,18,26
787,190,15,23,20,45
788,190,16,26,21,57
789,190,16,26,21,51
790,190,17,25,21,51
791,191,19,25,21,63
792,191,23,26,22,78
793,192,26,29,25,94
794,193,29,35,30,100
795,194,32,39,37,116
796,194,32,43,39,119
797,194,32,43,39,123
798,194,32,42,39,124
799,194,32,41,38,129
800,194,32,40,38,127
801,194,31,39,38,116
802,194,30,36,38,114
803,194,29,34,38,110
804,194,29,34,38,113
805,194,30,33,38,113
806,194,32,33,39,123
807,194,34,35,40,129
808,195,36,38,41,138
809,195,39,40,42,144
810,196,41,42,45,152
811,197,43,45,48,154
812,197,43,49,51,160
813,197,43,50,53,161
814,197,44,50,53,159
815,197,44,50,55,157
816,198,45,51,55,160
817,198,45,51,57,160
818,198,45,52,59,159
819,198,44,51,60,147
820,198,41,51,61,139
821,198,39,47,61,122
822,197,36,42,61,112
823,197,35,40,54,105
824,197,35,39,53,108
825,197,36,39,51,108
826,197,36,38,52,109
827,197,36,38,52,108
828,197,35,37,52,105
829,196,35,36,51,98
830,196,34,35,50,97
831,196,35,35,48,110
832,196,37,35,47,117
833,196,39,38,47,120
834,197,39,40,48,122
835,197,39,41,50,123
836,197,38,39,50,123
837,197,39,38,51,124
839,197,39,38,51,120
840,197,38,37,53,117
841,197,38,36,53,118
842,197,38,36,53,112
843,197,38,36,53,112
844,197,37,35,52,109
845,197,37,34,53,105
846,197,35,32,53,92
847,197,33,30,53,88
848,197,32,27,53,86
849,197,31,25,52,87
850,197,31,24,52,87
851,197,31,24,52,87
852,197,32,24,51,96
853,197,33,24,51,102
854,197,34,26,51,112
855,198,36,26,53,118
856,198,37,28,54,124
857,198,38,31,56,127
858,198,39,32,57,130
859,198,40,32,57,131
860,198,41,32,57,139
861,199,43,34,58,144
862,199,45,37,60,147
863,199,46,39,62,156
864,200,47,41,62,156
865,200,48,42,63,159
866,200,48,44,65,161
867,201,48,44,67,155
868,201,49,45,69,158
870,201,49,45,71,159
871,201,50,45,71,166
872,201,51,45,70,164
873,201,51,47,69,163
874,201,51,47,69,161
875,201,51,47,69,160
876,201,52,47,70,161
877,201,53,48,71,162
878,202,54,51,72,168
879,202,56,52,76,169
880,202,56,53,79,170
881,202,56,54,79,169
882,202,55,53,79,168
883,203,55,53,79,173
884,203,55,53,81,172
885,203,55,53,83,174
887,204,57,53,86,169
888,204,58,54,89,170
889,204,58,56,89,168
890,204,57,55,89,160
891,204,55,53,89,148
892,204,53,51,89,140
893,204,52,49,89,131
894,204,51,46,87,128
895,203,50,46,86,126
896,203,49,44,83,133
897,203,49,43,83,135
898,203,49,42,82,141
899,203,49,42,82,142
900,203,49,42,81,144
901,203,49,42,80,146
902,203,49,43,80,138
903,203,48,42,80,136
904,202,47,40,78,130
905,202,47,39,78,130
906,202,46,39,77,129
907,201,45,37,77,128
908,201,44,36,72,125
910,201,43,36,71,122
911,201,43,35,71,120
912,201,42,35,70,119
913,201,42,35,70,116
914,201,43,35,68,117
915,200,44,35,67,120
916,200,45,36,67,122
917,200,45,37,67,122
918,200,44,36,67,122
919,201,44,36,66,119
920,201,44,36,66,118
921,201,44,36,67,115
922,201,44,35,67,111
923,201,42,35,67,103
924,200,41,34,67,99
925,199,39,33,67,92
926,198,38,32,60,88
928,198,38,32,51,88
929,197,38,32,50,91
930,197,39,33,46,98
931,198,41,34,46,102
932,198,42,36,47,112
933,198,43,38,48,118
934,198,46,39,48,125
935,199,48,42,50,132
936,199,50,47,54,132
937,199,50,50,56,132
938,199,51,51,58,129
939,199,52,52,59,134
940,200,52,53,59,135
941,200,53,54,59,136
942,200,54,54,60,135
943,200,55,55,60,136
944,200,56,57,62,137
945,201,56,58,63,141
946,202,58,58,64,149
947,202,60,61,67,156
948,202,62,66,71,162
949,202,62,68,73,160
950,203,62,69,75,159
951,203,62,69,76,154
952,203,62,67,78,150
953,203,61,66,78,144
954,203,60,66,79,144
955,203,60,66,79,145
956,203,60,63,79,147
957,203,61,63,79,148
958,203,61,63,80,147
959,204,61,64,80,148
960,204,61,65,82,148
961,204,61,62,82,147
962,204,61,62,82,144
963,204,61,62,82,143
964,204,60,61,82,138
965,204,60,59,83,137
966,204,59,59,85,134
967,204,59,58,85,134
968,204,58,58,85,131
969,204,58,57,84,125
970,204,58,56,83,123
971,204,57,55,83,114
972,204,56,54,82,109
973,203,56,53,82,104
974,203,56,53,80,103
975,203,56,56,80,106
976,203,56,56,79,107
977,203,57,56,78,110
978,203,58,57,78,111
979,203,59,58,78,114
980,203,61,60,75,118
981,203,62,61,74,118
982,203,62,64,76,118
983,203,62,63,78,113
985,203,62,63,79,111
986,203,62,63,79,112
987,203,62,63,77,112
988,203,62,62,77,112
989,203,61,61,77,107
990,202,60,60,75,107
991,202,60,60,74,104
992,202,61,61,70,106
993,202,61,62,68,105
994,202,61,64,68,105
995,202,62,64,69,106
996,202,63,65,69,109
997,202,64,65,69,108
998,202,65,66,70,110
999,202,65,68,73,111
1000,203,65,69,74,99
1001,203,64,70,76,93
1002,203,63,68,76,82
1003,203,62,66,76,80
1004,203,62,66,76,82
1005,203,62,66,76,82
1006,202,61,63,74,82
1007,202,61,63,72,80
1008,202,62,64,71,80
1009,202,63,65,71,81
1010,202,64,65,70,85
1011,202,66,66,69,94
1012,203,69,69,68,100
1013,203,73,75,72,111
1014,204,78,82,75,122
1015,205,82,87,79,135
1016,206,87,96,87,140
1017,206,90,104,92,146
1018,207,91,109,95,144
1019,207,92,110,98,141
1020,207,92,110,98,136
1021,207,91,109,99,130
1022,207,90,108,99,128
1023,207,89,105,99,122
1024,207,89,104,98,120
1025,207,90,105,97,118
1026,207,90,106,98,122
1027,207,91,108,99,124
1028,207,91,109,99,127
1030,207,91,109,101,122
1031,207,90,108,101,119
1032,207,90,108,101,113
1033,207,89,105,100,111
1035,206,90,105,98,107
1036,206,91,107,95,104
1037,206,91,108,96,101
1038,206,91,109,96,99
1039,206,91,109,95,100
1040,206,92,110,94,98
1041,205,93,111,90,98
1042,205,94,110,90,95
1043,206,96,112,90,95
1044,206,97,115,90,97
1045,206,99,120,89,96
1046,205,102,122,89,100
1047,206,105,125,89,107
1048,206,108,130,90,111
1049,206,110,134,90,112
1050,206,113,140,91,112
1051,206,115,140,93,108
1052,206,116,142,95,106
1053,206,116,145,95,103
