x,a,b,c,d,index_value,label
663,121,143,39,125,316,1
664,122,144,40,126,317,1
665,122,144,42,127,318,1
666,122,144,42,127,318,1
667,123,144,42,128,319,1
668,123,144,42,129,321,1
669,123,144,43,130,321,1
670,124,145,43,130,323,1
671,124,145,43,130,323,1
672,124,145,44,131,322,1
673,124,144,42,132,316,1
674,124,143,42,132,314,1
675,125,142,41,132,315,1
676,125,143,41,132,318,1
677,125,144,41,133,321,1
678,125,144,41,133,321,1
679,125,144,42,134,322,1
680,126,144,42,134,323,1
682,126,144,42,135,316,1
683,126,143,41,135,312,1
684,127,142,40,135,312,1
685,127,142,40,136,313,1
686,127,142,40,136,312,1
687,127,141,39,136,308,1
688,127,140,38,136,307,1
689,127,140,37,136,310,1
690,127,140,37,136,312,1
691,127,140,37,137,315,1
692,127,141,37,137,316,1
693,127,142,38,137,318,1
694,129,143,38,138,323,1
695,130,145,39,138,327,1
696,131,147,41,140,333,1
697,131,149,44,143,337,1
698,132,150,46,146,338,1
699,133,151,47,147,338,1
700,133,151,49,148,340,1
701,133,151,49,149,343,1
702,136,153,50,150,345,1
703,136,154,51,152,348,1
704,136,154,54,154,349,1
705,136,154,54,154,348,1
706,136,154,54,154,347,1
707,137,154,54,154,343,1
708,137,154,54,155,341,1
709,137,153,53,155,335,1
710,137,152,51,155,332,1
711,136,151,51,155,330,1
712,136,150,50,155,328,1
713,136,149,48,155,331,1
714,136,149,48,155,332,1
715,136,149,48,155,332,1
716,136,149,48,155,333,1
717,137,150,48,155,335,1
718,137,150,48,155,336,1
719,137,151,48,156,341,1
720,138,153,49,157,343,1
721,138,153,51,157,348,1
722,138,153,52,158,350,1
723,138,153,52,159,352,1
724,138,153,53,159,350,1
725,138,153,52,159,350,1
726,138,153,52,159,349,1
727,138,152,52,159,345,1
728,138,151,50,159,342,1
729,138,151,50,159,339,1
730,138,150,49,159,339,1
732,138,151,49,159,344,1
734,138,151,49,160,347,1
735,138,151,49,159,346,1
736,138,151,48,159,347,1
737,138,150,48,159,348,1
738,138,151,48,159,349,1
739,138,151,48,159,350,1
740,139,151,48,159,349,1
741,139,151,48,160,346,1
742,139,151,48,161,343,1
743,139,150,48,161,342,1
744,139,149,47,161,342,1
745,139,149,47,161,343,1
746,139,149,47,161,343,1
747,139,149,47,161,343,1
748,139,149,47,161,342,1
749,139,149,46,161,340,1
750,139,148,46,161,340,1
752,140,150,46,161,343,1
753,140,150,46,162,344,1
754,139,150,45,162,345,1
755,139,149,45,162,341,1
756,139,149,45,162,338,1
757,139,148,44,161,333,1
758,139,147,43,160,331,1
759,139,147,42,160,328,1
760,138,146,42,159,327,1
761,138,145,41,159,323,1
762,138,145,41,159,322,1
763,138,145,41,159,323,1
764,138,144,41,159,322,1
765,138,144,40,159,323,1
766,138,145,40,159,324,1
767,138,145,40,159,325,1
768,138,145,41,160,324,1
769,138,145,41,160,324,1
770,140,146,41,160,325,0
771,140,146,42,161,326,1
772,140,146,42,163,327,0
773,140,147,42,164,327,1
774,141,147,42,164,326,1
775,141,148,42,164,331,1
776,142,150,44,165,333,1
777,142,151,46,166,339,1
778,143,152,47,167,341,1
779,143,152,48,168,345,1
780,143,152,49,169,342,1
781,144,152,50,170,341,1
782,144,152,50,170,337,1
783,145,152,50,171,339,1
784,145,152,50,172,339,1
785,145,152,50,173,339,1
786,145,153,50,174,340,1
787,145,153,50,174,342,1
788,145,153,51,174,345,1
789,145,153,52,174,344,1
790,145,153,52,174,340,1
791,145,153,51,174,335,1
792,145,152,50,174,328,1
793,145,150,49,173,324,1
794,144,149,48,173,318,1
795,144,148,47,173,313,1
796,144,146,45,172,309,1
797,144,145,45,172,306,1
798,144,143,43,171,298,1
799,143,140,42,166,291,1
800,141,138,41,163,283,0
801,139,136,39,161,272,1
802,138,135,37,159,269,1
803,138,135,37,157,270,1
804,137,136,38,157,273,1
805,136,137,40,157,279,1
806,136,137,40,157,278,1
807,136,136,40,156,270,1
808,136,135,38,155,266,1
809,135,134,37,153,260,1
810,134,133,37,152,258,1
811,134,133,36,151,256,1
812,133,132,36,151,254,1
813,133,130,36,150,251,1
814,133,128,36,148,250,1
815,132,125,34,146,246,1
816,131,125,33,146,252,1
817,131,127,33,146,253,1
818,131,127,34,147,257,1
819,131,127,34,146,257,1
820,131,126,33,146,253,1
821,131,126,33,146,254,1
822,131,127,34,146,257,1
823,131,128,34,146,261,1
824,131,130,35,146,267,1
825,132,133,37,147,277,1
826,133,137,39,148,290,1
827,135,139,43,150,298,1
828,135,143,49,154,314,1
829,136,145,51,156,317,1
830,137,147,52,157,325,1
831,137,148,53,157,327,1
832,137,149,56,158,327,1
833,136,150,56,158,326,1
834,136,151,57,158,324,1
835,136,151,55,158,320,1
836,136,150,54,158,317,1
837,136,149,53,158,318,1
839,137,149,53,158,322,1
840,137,149,52,160,320,1
841,138,148,51,161,320,1
842,138,148,50,161,321,1
843,138,148,50,161,322,1
844,138,148,49,162,320,1
845,138,147,48,162,319,1
846,138,147,48,162,318,1
847,138,147,48,162,318,1
848,138,147,47,162,317,1
849,137,146,46,161,316,1
850,137,146,46,161,314,1
851,137,146,46,161,312,1
852,137,145,45,160,308,1
853,137,144,44,159,307,1
854,137,142,41,158,302,1
855,136,142,41,157,302,1
856,136,142,41,157,298,1
857,135,141,40,156,296,1
858,135,140,38,156,289,1
859,135,138,37,155,284,1
860,133,137,37,153,280,1
861,133,136,36,152,283,1
863,133,138,36,152,292,1
864,133,138,37,152,291,1
865,133,138,36,152,288,1
866,133,137,36,151,274,1
867,133,135,33,151,268,1
868,132,132,32,150,257,1
869,132,130,31,148,260,1
870,131,129,28,147,268,1
871,131,131,28,147,282,1
872,131,133,30,147,290,1
873,132,134,32,148,298,1
874,132,136,33,149,302,1
875,132,138,35,150,305,1
876,132,138,36,150,303,1
877,132,138,37,150,301,1
878,132,138,36,150,302,1
879,133,139,36,150,304,1
881,134,140,36,152,311,1
882,134,141,36,153,311,1
883,134,142,37,154,312,1
884,135,142,37,154,314,1
885,135,143,37,155,317,1
886,136,145,37,156,320,1
887,136,147,39,158,328,1
888,137,148,41,159,329,1
889,137,148,42,160,324,1
890,137,147,42,161,317,1
891,137,146,41,161,312,1
892,137,146,40,161,313,1
893,137,146,40,161,315,1
894,137,147,39,161,320,1
895,137,147,39,162,321,1
896,138,147,39,162,321,1
897,138,148,39,163,321,1
898,138,149,38,163,321,1
899,137,151,38,162,321,1
900,137,151,40,162,323,1
901,137,151,41,162,324,1
902,137,151,41,162,323,1
903,137,152,40,162,323,1
904,138,152,40,163,324,1
905,138,152,40,163,325,1
906,138,152,40,163,327,1
907,138,153,40,164,328,1
908,139,154,41,165,331,1
909,140,155,42,165,334,1
910,140,155,44,167,337,1
911,141,156,45,168,341,1
912,141,158,45,169,342,1
913,141,159,46,170,341,1
914,142,160,47,171,340,1
915,142,160,48,171,340,1
916,142,160,48,172,340,1
917,142,160,48,173,339,1
918,142,159,47,174,338,1
919,142,159,47,173,335,1
920,142,158,46,173,336,0
921,142,158,44,173,337,1
922,142,158,44,173,337,0
923,142,158,44,173,337,0
924,143,158,44,174,336,1
925,143,159,43,174,336,1
926,143,159,43,175,337,0
927,143,159,43,175,337,1
928,143,159,43,175,337,0
929,143,159,43,175,336,0
930,143,159,42,176,336,1
931,143,159,42,176,336,1
932,143,159,42,176,336,1
933,144,159,42,176,336,0
934,144,159,42,177,337,0
935,144,160,41,178,338,1
936,144,161,41,178,340,1
937,144,161,42,178,342,1
938,145,162,42,179,346,1
939,146,164,41,179,347,1
940,146,166,43,181,350,1
941,147,168,44,182,355,1
942,149,171,47,184,357,1
943,150,173,52,186,363,1
944,151,175,53,191,365,1
945,152,177,55,193,366,1
946,153,178,56,195,369,1
947,153,178,57,197,367,1
948,155,178,56,199,366,1
949,155,178,56,200,362,1
950,155,177,56,202,361,1
951,155,177,56,204,358,1
952,155,175,54,204,351,1
953,155,174,49,203,343,1
954,154,173,47,201,339,1
955,154,173,47,201,338,1
956,153,173,47,201,339,1
957,153,173,43,201,338,1
958,153,172,42,201,337,1
959,153,171,41,201,336,1
960,153,170,40,201,337,1
961,154,170,39,201,338,1
963,154,170,39,202,346,1
964,154,171,40,202,348,1
965,154,171,40,202,348,1
966,153,171,46,201,346,1
967,154,171,48,201,344,1
968,154,171,48,201,342,1
969,154,171,48,202,340,1
970,154,172,48,202,346,1
971,155,173,53,202,351,1
972,155,175,57,204,356,1
973,156,176,58,205,359,1
974,156,177,61,207,356,1
975,156,177,62,208,356,1
977,156,176,62,208,354,1
978,156,176,61,208,355,1
979,156,176,60,208,350,1
980,156,176,54,207,347,1
981,156,175,54,207,341,0
982,155,174,53,207,336,1
983,155,173,52,207,334,1
984,155,172,51,207,336,1
985,155,171,51,207,337,1
986,155,172,50,207,338,1
987,155,172,50,207,338,1
988,155,172,51,207,338,1
989,155,171,51,207,339,1
990,155,171,51,207,337,1
991,156,171,51,207,337,1
992,156,171,51,208,332,1
993,156,170,51,208,333,1
994,156,171,51,208,334,1
995,156,171,51,208,336,1
996,156,172,52,209,337,1
997,156,172,53,209,335,1
998,156,171,53,208,331,1
999,156,170,53,207,325,1
1000,155,169,51,206,321,1
1001,155,168,51,206,320,1
1002,154,167,51,206,319,1
1003,154,167,52,205,318,1
1004,154,167,52,205,313,1
1005,154,166,51,205,312,1
1006,154,166,51,205,310,1
1007,154,167,52,205,310,1
1008,154,168,53,205,312,1
1009,154,169,54,206,314,1
1010,154,170,54,206,316,1
1011,154,170,56,206,316,1
1012,154,170,57,207,315,1
1014,154,170,57,206,316,1
1016,154,172,57,206,315,1
1017,154,173,59,206,317,1
1018,154,173,62,206,316,1
1019,154,173,62,206,315,1
1020,154,174,62,206,316,1
1021,154,175,62,206,319,1
1022,154,176,64,207,320,1
1023,154,177,66,207,321,1
1024,154,178,67,207,323,1
1025,155,179,69,207,323,1
